---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,ROI 8,ROI 8,ROI 9,ROI 9,ROI 11,ROI 11,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
18.834449,,37641.4379,,25685.5287,,23454.6567,,37076.6809,,25270.9517,,18748.0267,,32922.953,,20631.1258,,21648.3399,,,,
19.0011843,28608.4706,,21633.9363,,19025.7015,,13429.7305,,23142.5103,,10303.5467,,22818.8456,,16200.1485,,18467.1895,,,,,
19.1678443,,37637.2288,,25612.3312,,23377.9403,,36465.5035,,25324.1655,,18734.08,,32774.953,,20636.3711,,21454.719,,,,
19.334504,28630.0654,,21574.3439,,19022.0896,,13354.4397,,23104.8552,,10309.6267,,22842.7383,,16281.0392,,18462.9542,,,,,
19.5011637,,37542.4575,,25642.6242,,23340.6567,,35988.6809,,25362.069,,18798.0533,,32763.3289,,20674.4082,,21547.5817,,,,
19.6678993,28644.366,,21707.0318,,19028.8358,,13397.617,,23068.9103,,10329.92,,22880.8054,,16214.1691,,18442.3007,,,,,
19.834559,,37685.0458,,25697.4268,,23374.4776,,35657.2482,,25293.5448,,18736.5067,,32701.7718,,20962.0784,,21531.7124,,,,
20.0012187,28738.2484,,21660.6624,,19076.1493,,13357.0213,,23059.5586,,10323.9733,,22935.7852,,16220.4701,,18389.4118,,,,,
20.1678787,,37586.3529,,25666.0382,,23356,,35153.2199,,25236.3862,,18590.2133,,32562.4698,,21066.1938,,21547.3464,,,,
20.334614,28735.2941,,21610.6752,,19069.1045,,13484.0851,,23119.1724,,10313.1467,,22863.8926,,16192.1649,,18470.5359,,,,,
20.5012737,,37597.6732,,25676.8662,,23355.5522,,34999.4894,,25216.2759,,18493.5467,,32573.0201,,20969.8639,,21624.3922,,,,
20.6679337,28702.4314,,21605.5032,,19094.4478,,13480.8794,,23018.6759,,10360.88,,22826.8188,,16277.6412,,18395.1634,,,,,
20.8345935,,37529.7255,,25693.172,,23384.5075,,34898.4681,,25246.8966,,18522.7467,,32890.1477,,20799.4722,,21547.7124,,,,
21.0012533,28665.9346,,21651.5414,,19049.6716,,13492,,23024.9931,,10321.7867,,22815.3826,,16290.9361,,18435.1111,,,,,
21.1679887,,37561.6732,,25685.6561,,23311.8507,,34708.5106,,25133.269,,18838.24,,34265.9329,,20720.6928,,21471.6601,,,,
21.3346485,28611.5294,,21665.5287,,18986.4776,,13371.1773,,23046.1241,,10339.1733,,22916.8591,,16206.6144,,18445.3856,,,,,
21.5013083,,37472.8366,,25674.6497,,23298.6866,,34276.2837,,25128.1655,,18795.5733,,33962.4161,,20708.9485,,21438.3791,,,,
21.6679683,28609.3856,,21660.8917,,19087.6418,,13435.8582,,23067.4759,,10268.1067,,22867.7584,,16230.6969,,18505.2288,,,,,
21.8347035,,37569.0196,,25684.5096,,23326.9552,,34143.8865,,25139.5862,,18716.5333,,33581.6913,,20642.6392,,21541.6732,,,,
22.0013633,28718.9542,,21714.5987,,19137.7015,,13421.4184,,22984.6897,,10305.52,,22864.5638,,16197.4763,,18525.4641,,,,,
22.1680233,,37488.8105,,25674.7516,,23308.0299,,33909.4184,,25157.6828,,18763.04,,33389.4765,,20632.9732,,21550.0915,,,,
