---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
24.6679963,22025.2662,,8467.2381,,10905.0588,,60519.8322,,20397.1701,,43865.2903,,16353.1064,,,,,
24.834656,,23043.5971,,11620.8571,,14714.5294,,55743.2727,,19863.5374,,38793.9355,,17797.4752,,,,
25.001316,22067.5971,,8415.93651,,10904.5294,,60483.5245,,20370.9116,,43931.7161,,16345.2199,,,,,
25.1680513,,23249.3237,,11646.8254,,14736.5294,,55693.4266,,19909.8231,,38772,,17786.6667,,,,
25.334711,22242.8201,,8461.01587,,10960.7353,,60539.4685,,20368.1088,,43825.0581,,16334.7801,,,,,
25.501371,,23286.8201,,11679.3968,,14739.1176,,55674.6294,,19873.0612,,38761.0839,,17813.9291,,,,
25.6680307,22410.7626,,8422.03175,,10935.4706,,60554.8811,,20372.4082,,43889.5484,,16315.7447,,,,,
25.8346908,,23531.5971,,11690.9524,,14732.7647,,55641.8182,,19853.932,,38764.2581,,17764.9645,,,,
26.001426,22367.8273,,8445.39683,,10915.8824,,60571.1329,,20360.6259,,43896.1548,,16350.5816,,,,,
26.1680857,,23406.705,,11668.6032,,14774.1176,,55772.0839,,19916.1088,,38764.0774,,17763.2624,,,,
26.3347455,22409.036,,8454.95238,,10908.4706,,60535.3287,,20350.7755,,43893.1097,,16341.617,,,,,
26.5014055,,23251.4532,,11655.2381,,14737.2941,,55650.1818,,19923.7279,,38770.1161,,17816.2837,,,,
26.6680653,22257.5827,,8446.47619,,10946.7059,,60551.4965,,20341.3878,,43801.4452,,16336.3972,,,,,
26.8348007,,23357.0072,,11663.1111,,14795.6471,,55688.5594,,19869.1156,,38737.6258,,17792.3121,,,,
27.0014605,22315.223,,8446.88889,,10935.2353,,60562.965,,20352.5442,,43857.3419,,16324.8511,,,,,
27.1681203,,23262.6475,,11653.3016,,14781.7353,,55701.3427,,19874.8571,,38746.6839,,17811.6596,,,,
27.3347803,22446.3022,,8491.93651,,10922.5882,,60467.1888,,20305.3333,,43840.3355,,16315.234,,,,,
27.5015155,,23601.3813,,11654.8571,,14774.1471,,55714.8811,,19861.1701,,38785.3161,,17747.461,,,,
